id,map_id,address,description,pic,link,icon,lat,lng,anim,title,infoopen,category,approved,retina,type,did,other_data
,1,Gotenstr. 4 33647 Bielefeld,<p>Gotenstr. 4<br/>33647 Bielefeld</p>,,,,51.9894,8.51,0,BFT,0,8,1,0,0,,a:0:{}
,1,Osterholzer Heerstr. 161 28307 Bremen,<p>Osterholzer Heerstr. 161<br/>28307 Bremen</p>,,,,53.0578,8.9483,0,BFT,0,8,1,0,0,,a:0:{}
,1,Karlstr. 7 51379 Leverkusen,<p>Karlstr. 7<br/>51379 Leverkusen</p>,,,,51.062,7.00481,0,BFT,0,8,1,0,0,,a:0:{}
,1,Hovestr. 40-42 48431 Rheine,<p>Hovestr. 40-42<br/>48431 Rheine</p>,,,,52.2729,7.44058,0,BFT,0,8,1,0,0,,a:0:{}
,1,Allersheimer Str. 5a 37603 Holzminden,<p>Allersheimer Str. 5a<br/>37603 Holzminden</p>,,,,51.8318,9.45416,0,BFT,0,8,1,0,0,,a:0:{}
,1,Heeper Str. 294 33607 Bielefeld,<p>Heeper Str. 294<br/>33607 Bielefeld</p>,,,,52.0282,8.57581,0,BFT,0,8,1,0,0,,a:0:{}
,1,Südenmauer 2 59227 Ahlen,<p>Südenmauer 2<br/>59227 Ahlen</p>,,,,51.7613,7.88988,0,BFT,0,8,1,0,0,,a:0:{}
,1,Wernesgrüner Str. 39 c 8228 Rodewisch,<p>Wernesgrüner Str. 39 c<br/>8228 Rodewisch</p>,,,,50.5323,12.4315,0,BFT,0,8,1,0,0,,a:0:{}
,1,Blankenburger Str. 36 13156 Berlin,<p>Blankenburger Str. 36<br/>13156 Berlin</p>,,,,52.582,13.4096,0,BFT,0,8,1,0,0,,a:0:{}
,1,Hauptstr. 43 33758 Schloß Holte-Stukenbrock,<p>Hauptstr. 43<br/>33758 Schloß Holte-Stukenbrock</p>,,,,51.90887702,8.663936377,0,BFT,0,8,1,0,0,,a:0:{}
,1,Gildehauser Str. 101 48599 Gronau,<p>Gildehauser Str. 101<br/>48599 Gronau</p>,,,,52.2177,7.03501,0,BFT,0,8,1,0,0,,a:0:{}
,1,Mühlenstr. 96 25421 Pinneberg,<p>Mühlenstr. 96<br/>25421 Pinneberg</p>,,,,53.6577,9.7768,0,BFT,0,8,1,0,0,,a:0:{}
,1,Dessauer Chaussee 11 6385 Aken,<p>Dessauer Chaussee 11<br/>6385 Aken</p>,,,,51.8537,12.0554,0,BFT,0,8,1,0,0,,a:0:{}
,1,Arnold-Overbeck-Str. 67 47139 Duisburg,<p>Arnold-Overbeck-Str. 67<br/>47139 Duisburg</p>,,,,51.4835,6.734,0,BFT,0,8,1,0,0,,a:0:{}
,1,Wiedenbrücker Str. 12 33332 Gütersloh,<p>Wiedenbrücker Str. 12<br/>33332 Gütersloh</p>,,,,51.895,8.36781,0,BFT,0,8,1,0,0,,a:0:{}
,1,Torgauer Str. 118 4347 Leipzig,<p>Torgauer Str. 118<br/>4347 Leipzig</p>,,,,51.3568,12.4376,0,BFT,0,8,1,0,0,,a:0:{}
,1,Hasporter Damm 159 27755 Delmenhorst,<p>Hasporter Damm 159<br/>27755 Delmenhorst</p>,,,,53.0341,8.65099,0,BFT,0,8,1,0,0,,a:0:{}
,1,Pampower Str. 5 19061 Schwerin,<p>Pampower Str. 5<br/>19061 Schwerin</p>,,,,53.5892,11.4028,0,BFT,0,8,1,0,0,,a:0:{}
,1,Riesaer Str. 56 4328 Leipzig,<p>Riesaer Str. 56<br/>4328 Leipzig</p>,,,,51.3454,12.4493,0,BFT,0,8,1,0,0,,a:0:{}
,1,Briesker Str. 85 1968 Senftenberg,<p>Briesker Str. 85<br/>1968 Senftenberg</p>,,,,51.50958716,13.97934079,0,BFT,0,8,1,0,0,,a:0:{}
,1,Heikendorfer Weg 79 24248 Mönkeberg,<p>Heikendorfer Weg 79<br/>24248 Mönkeberg</p>,,,,54.3489,10.1879,0,BFT,0,8,1,0,0,,a:0:{}
,1,Hans-Böckler-Str. 66 40764 Langenfeld,<p>Hans-Böckler-Str. 66<br/>40764 Langenfeld</p>,,,,51.12203916,6.924845549,0,BFT,0,8,1,0,0,,a:0:{}
,1,Hauptstr. 150 56170 Bendorf,<p>Hauptstr. 150<br/>56170 Bendorf</p>,,,,50.4263,7.57205,0,BFT,0,8,1,0,0,,a:0:{}
,1,Osnabrücker Str. 158 49479 Ibbenbüren,<p>Osnabrücker Str. 158<br/>49479 Ibbenbüren</p>,,,,52.2849,7.74609,0,BFT,0,8,1,0,0,,a:0:{}
,1,Heidestr. 95 42549 Velbert,<p>Heidestr. 95<br/>42549 Velbert</p>,,,,51.3313,7.04033,0,BFT,0,8,1,0,0,,a:0:{}
,1,Heidbunge 3 24848 Kropp,<p>Heidbunge 3<br/>24848 Kropp</p>,,,,54.3756,9.54714,0,BFT,0,8,1,0,0,,a:0:{}
,1,An Der B 92 1 7957 Langenwetzendorf,<p>An Der B 92 1<br/>7957 Langenwetzendorf</p>,,,,50.717236,12.112013,0,BFT,0,8,1,0,0,,a:0:{}
,1,Baeyerstr. 1 24536 Neumünster,<p>Baeyerstr. 1<br/>24536 Neumünster</p>,,,,54.10063957,9.977758527,0,EDEKA,0,26,1,0,0,,a:0:{}
,1,Münsterstr. 45 49186 Bad Iburg,<p>Münsterstr. 45<br/>49186 Bad Iburg</p>,,,,52.1518,8.038,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Mühlenstr. 30 49401 Damme,<p>Mühlenstr. 30<br/>49401 Damme</p>,,,,52.5231,8.19315,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Bergweg 41 49393 Lohne,<p>Bergweg 41<br/>49393 Lohne</p>,,,,52.6643,8.25677,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Glandorfer Str. 20 48336 Sassenberg,<p>Glandorfer Str. 20<br/>48336 Sassenberg</p>,,,,52.0501,8.03411,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Steinhauser Str. 14 26345 Bockhorn,<p>Steinhauser Str. 14<br/>26345 Bockhorn</p>,,,,53.3955,8.01392,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Hauptstr. 247 28816 Fahrenhorst,<p>Hauptstr. 247<br/>28816 Fahrenhorst</p>,,,,52.9462,8.711,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Celler Str. 25 29525 Uelzen,<p>Celler Str. 25<br/>29525 Uelzen</p>,,,,52.9527,10.5482,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Hohes Ufer 2 49624 Löningen,<p>Hohes Ufer 2<br/>49624 Löningen</p>,,,,52.73138224,7.771730661,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Falkenrotter Str. 163 49377 Vechta,<p>Falkenrotter Str. 163<br/>49377 Vechta</p>,,,,52.73181818,8.264194966,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Visbeker Damm 1b 49429 Visbek,<p>Visbeker Damm 1b<br/>49429 Visbek</p>,,,,52.82668255,8.304237127,0,FELTA,0,22,1,0,0,,a:0:{}
,1,Schapers Kamp 1 31311 Uetze,<p>Schapers Kamp 1<br/>31311 Uetze</p>,,,,52.46504375,10.19028068,0,Famila Tank,0,24,1,0,0,,a:0:{}
,1,Hauptstr. 38 49152 Bad Essen-Rabber,<p>Hauptstr. 38<br/>49152 Bad Essen-Rabber</p>,,,,52.316688,8.408558965,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Bielefelder Str. 31 49176 Hilter,<p>Bielefelder Str. 31<br/>49176 Hilter</p>,,,,52.1351,8.1494,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Bahnhofstr. 16 56414 Wallmerod,<p>Bahnhofstr. 16<br/>56414 Wallmerod</p>,,,,50.48633709,7.949982762,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Hausener Str. 51 56736 Kottenheim,<p>Hausener Str. 51<br/>56736 Kottenheim</p>,,,,50.34359807,7.26224184,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Koblenzer Str. 168 56727 Mayen,<p>Koblenzer Str. 168<br/>56727 Mayen</p>,,,,50.32699474,7.247527242,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Münsterau 215 52224 Stolberg,<p>Münsterau 215<br/>52224 Stolberg</p>,,,,50.73638588,6.267077923,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
,1,Aalener Str. 36 73441 Bopfingen,<p>Aalener Str. 36<br/>73441 Bopfingen</p>,,,,48.86200095,10.34641743,0,Freie Tankstelle,0,25,1,0,0,,a:0:{}
